word,sign_video_url,sign_source,sign_lookup_url,status,notes
ableism,https://player.vimeo.com/external/391145602.sd.mp4?s=2ca0e6972a2bfd05200ac4957fa195c0032751bd&profile_id=164,SignASL,https://www.signasl.org/sign/ableism,matched-sign-video,
ableist,,,https://www.signasl.org/sign/ableist,no-exact-single-word-video-found,
about,https://media.signbsl.com/videos/asl/aslsignbank/mp4/ABOUT-2042.mp4,SignASL,https://www.signasl.org/sign/about,matched-sign-video,
abuse,https://media.signbsl.com/videos/asl/aslsignbank/mp4/HIT-148.mp4,SignASL,https://www.signasl.org/sign/abuse,matched-sign-video,
accessibility,https://media.signbsl.com/videos/asl/aslsignbank/mp4/SPACE-269.mp4,SignASL,https://www.signasl.org/sign/accessibility,matched-sign-video,
accessible,https://media.signbsl.com/videos/asl/youtube/mp4/MJVl8RzRd8k.mp4,SignASL,https://www.signasl.org/sign/accessible,matched-sign-video,
action,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/action.mp4,SignASL,https://www.signasl.org/sign/action,matched-sign-video,
actions,,,https://www.signasl.org/sign/actions,no-exact-single-word-video-found,"SignASL gloss is ""action""."
addition,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/addition.mp4,SignASL,https://www.signasl.org/sign/addition,matched-sign-video,
additional,https://media.signbsl.com/videos/asl/aslsearch/mp4/additional.mp4,SignASL,https://www.signasl.org/sign/additional,matched-sign-video,
administration,https://player.vimeo.com/external/391150925.sd.mp4?s=6abfb0d533bf3765b2b6b807b1e1ce1145f610e8&profile_id=164,SignASL,https://www.signasl.org/sign/administration,matched-sign-video,
again,https://media.signbsl.com/videos/asl/startasl/mp4/again.mp4,SignASL,https://www.signasl.org/sign/again,matched-sign-video,
agendas,,,https://www.signasl.org/sign/agendas,no-exact-single-word-video-found,"SignASL gloss is ""agenda""."
ahead,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/ahead.mp4,SignASL,https://www.signasl.org/sign/ahead,matched-sign-video,
also,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/too.mp4,SignASL,https://www.signasl.org/sign/also,matched-sign-video,
always,https://media.signbsl.com/videos/asl/startasl/mp4/always.mp4,SignASL,https://www.signasl.org/sign/always,matched-sign-video,
announcements,,,https://www.signasl.org/sign/announcements,no-exact-single-word-video-found,"SignASL gloss is ""announcement""."
any,https://media.signbsl.com/videos/asl/aslsignbank/mp4/ANY-2070.mp4,SignASL,https://www.signasl.org/sign/any,matched-sign-video,
areas,,,https://www.signasl.org/sign/areas,no-exact-single-word-video-found,"SignASL gloss is ""area""."
armbands,,,https://www.signasl.org/sign/armbands,no-exact-single-word-video-found,"SignASL gloss is ""armband""."
asking,,,https://www.signasl.org/sign/asking,no-exact-single-word-video-found,
asl,https://media.signbsl.com/videos/asl/startasl/mp4/asl.mp4,SignASL,https://www.signasl.org/sign/asl,matched-sign-video,
autonomy,https://media.signbsl.com/videos/asl/youtube/mp4/8DqZs_aSroI.mp4,SignASL,https://www.signasl.org/sign/autonomy,matched-sign-video,
availability,https://media.signbsl.com/videos/asl/aslsignbank/mp4/SPACE-269.mp4,SignASL,https://www.signasl.org/sign/availability,matched-sign-video,
available,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/available.mp4,SignASL,https://www.signasl.org/sign/available,matched-sign-video,
aware,https://media.signbsl.com/videos/asl/aslsearch/mp4/aware.mp4,SignASL,https://www.signasl.org/sign/aware,matched-sign-video,
beforehand,https://player.vimeo.com/external/391200229.sd.mp4?s=5276c4fd55e8e2fd4b1273842bd11c344de7bcc4&profile_id=164,SignASL,https://www.signasl.org/sign/beforehand,matched-sign-video,
behind,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/behind.mp4,SignASL,https://www.signasl.org/sign/behind,matched-sign-video,
better,https://media.signbsl.com/videos/asl/startasl/mp4/improve.mp4,SignASL,https://www.signasl.org/sign/better,matched-sign-video,
between,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/between%20(alternate%20sign).mp4,SignASL,https://www.signasl.org/sign/between,matched-sign-video,
black,https://media.signbsl.com/videos/asl/startasl/mp4/black.mp4,SignASL,https://www.signasl.org/sign/black,matched-sign-video,
bleachers,,,https://www.signasl.org/sign/bleachers,no-exact-single-word-video-found,
body,https://media.signbsl.com/videos/asl/aslsignbank/mp4/BODY-788.mp4,SignASL,https://www.signasl.org/sign/body,matched-sign-video,
braille,https://media.signbsl.com/videos/asl/aslsignbank/mp4/BRAILLE-2131.mp4,SignASL,https://www.signasl.org/sign/braille,matched-sign-video,
bring,https://media.signbsl.com/videos/asl/aslsignbank/mp4/BRING-51.mp4,SignASL,https://www.signasl.org/sign/bring,matched-sign-video,
brink,https://player.vimeo.com/external/391215752.sd.mp4?s=bd16a8541ce83b436f0531337cf73c93371ca8b8&profile_id=164,SignASL,https://www.signasl.org/sign/brink,matched-sign-video,
brown,https://media.signbsl.com/videos/asl/startasl/mp4/brown.mp4,SignASL,https://www.signasl.org/sign/brown,matched-sign-video,
brutality,,,https://www.signasl.org/sign/brutality,no-exact-single-word-video-found,
