word,count,local_video,signbank_search_url,signasl_lookup_url,status,notes
a,16,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=a,https://www.signasl.org/sign/a,needs-review,
ableism,1,assets/words/ableism.mp4,https://aslsignbank.haskins.yale.edu/signs/search/?translation=ableism,https://www.signasl.org/sign/ableism,local-video-exists,Already mapped in complexWordVideos.
ableist,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=ableist,https://www.signasl.org/sign/ableist,needs-review,
about,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=about,https://www.signasl.org/sign/about,needs-review,
abuse,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=abuse,https://www.signasl.org/sign/abuse,needs-review,
access,5,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=access,https://www.signasl.org/sign/access,needs-review,
accessibility,1,assets/words/accessibility.mp4,https://aslsignbank.haskins.yale.edu/signs/search/?translation=accessibility,https://www.signasl.org/sign/accessibility,local-video-exists,Already mapped in complexWordVideos.
accessible,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=accessible,https://www.signasl.org/sign/accessible,needs-review,
action,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=action,https://www.signasl.org/sign/action,needs-review,
actions,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=actions,https://www.signasl.org/sign/actions,needs-review,
addition,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=addition,https://www.signasl.org/sign/addition,needs-review,
additional,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=additional,https://www.signasl.org/sign/additional,needs-review,
administration,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=administration,https://www.signasl.org/sign/administration,needs-review,
again,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=again,https://www.signasl.org/sign/again,needs-review,
agendas,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=agendas,https://www.signasl.org/sign/agendas,needs-review,
ahead,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=ahead,https://www.signasl.org/sign/ahead,needs-review,
all,3,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=all,https://www.signasl.org/sign/all,needs-review,
along,2,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=along,https://www.signasl.org/sign/along,needs-review,
also,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=also,https://www.signasl.org/sign/also,needs-review,
always,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=always,https://www.signasl.org/sign/always,needs-review,
an,4,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=an,https://www.signasl.org/sign/an,needs-review,
and,31,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=and,https://www.signasl.org/sign/and,needs-review,
announce,4,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=announce,https://www.signasl.org/sign/announce,needs-review,
announcements,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=announcements,https://www.signasl.org/sign/announcements,needs-review,
any,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=any,https://www.signasl.org/sign/any,needs-review,
are,10,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=are,https://www.signasl.org/sign/are,needs-review,
area,2,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=area,https://www.signasl.org/sign/area,needs-review,
areas,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=areas,https://www.signasl.org/sign/areas,needs-review,
armbands,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=armbands,https://www.signasl.org/sign/armbands,needs-review,
as,9,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=as,https://www.signasl.org/sign/as,needs-review,
asking,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=asking,https://www.signasl.org/sign/asking,needs-review,
asl,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=asl,https://www.signasl.org/sign/asl,needs-review,
at,11,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=at,https://www.signasl.org/sign/at,needs-review,
autonomy,1,assets/words/autonomy.mp4,https://aslsignbank.haskins.yale.edu/signs/search/?translation=autonomy,https://www.signasl.org/sign/autonomy,local-video-exists,Already mapped in complexWordVideos.
availability,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=availability,https://www.signasl.org/sign/availability,needs-review,
available,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=available,https://www.signasl.org/sign/available,needs-review,
aware,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=aware,https://www.signasl.org/sign/aware,needs-review,
back,2,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=back,https://www.signasl.org/sign/back,needs-review,
be,10,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=be,https://www.signasl.org/sign/be,needs-review,
beforehand,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=beforehand,https://www.signasl.org/sign/beforehand,needs-review,
behind,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=behind,https://www.signasl.org/sign/behind,needs-review,
better,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=better,https://www.signasl.org/sign/better,needs-review,
between,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=between,https://www.signasl.org/sign/between,needs-review,
black,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=black,https://www.signasl.org/sign/black,needs-review,
bleachers,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=bleachers,https://www.signasl.org/sign/bleachers,needs-review,
body,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=body,https://www.signasl.org/sign/body,needs-review,
braille,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=braille,https://www.signasl.org/sign/braille,needs-review,
bring,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=bring,https://www.signasl.org/sign/bring,needs-review,
brink,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=brink,https://www.signasl.org/sign/brink,needs-review,
brown,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=brown,https://www.signasl.org/sign/brown,needs-review,
brutality,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=brutality,https://www.signasl.org/sign/brutality,needs-review,
by,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=by,https://www.signasl.org/sign/by,needs-review,
calm,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=calm,https://www.signasl.org/sign/calm,needs-review,
camps,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=camps,https://www.signasl.org/sign/camps,needs-review,
can,3,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=can,https://www.signasl.org/sign/can,needs-review,
cannot,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=cannot,https://www.signasl.org/sign/cannot,needs-review,
cars,1,,https://aslsignbank.haskins.yale.edu/signs/search/?translation=cars,https://www.signasl.org/sign/cars,needs-review,
